UserId,Name,Lastname,Email,CreatedAt,IsDeleted
104,Usuario 104,Apellido 104,user104@sucursales.local,2024-05-04,0
105,Usuario 105,Apellido 105,user105@sucursales.local,2025-02-17,0
106,Usuario 106,Apellido 106,user106@sucursales.local,2024-02-18,0
107,Usuario 107,Apellido 107,user107@sucursales.local,2024-08-08,0
108,Usuario 108,Apellido 108,user108@sucursales.local,2024-07-29,0
109,Usuario 109,Apellido 109,user109@sucursales.local,2025-01-08,0
110,Usuario 110,Apellido 110,user110@sucursales.local,2024-11-30,0
111,Usuario 111,Apellido 111,user111@sucursales.local,2024-02-20,0
112,Usuario 112,Apellido 112,user112@sucursales.local,2025-01-07,0
113,Usuario 113,Apellido 113,user113@sucursales.local,2025-03-17,0
114,Usuario 114,Apellido 114,user114@sucursales.local,2024-04-08,0
115,Usuario 115,Apellido 115,user115@sucursales.local,2024-08-17,0
116,Usuario 116,Apellido 116,user116@sucursales.local,2024-04-03,0
117,Usuario 117,Apellido 117,user117@sucursales.local,2024-05-07,0
118,Usuario 118,Apellido 118,user118@sucursales.local,2024-02-08,0
119,Usuario 119,Apellido 119,user119@sucursales.local,2025-03-17,0
120,Usuario 120,Apellido 120,user120@sucursales.local,2024-02-20,0
121,Usuario 121,Apellido 121,user121@sucursales.local,2024-10-03,0
122,Usuario 122,Apellido 122,user122@sucursales.local,2024-02-17,0
123,Usuario 123,Apellido 123,user123@sucursales.local,2025-03-10,0
124,Usuario 124,Apellido 124,user124@sucursales.local,2024-07-27,0
125,Usuario 125,Apellido 125,user125@sucursales.local,2024-04-19,0
126,Usuario 126,Apellido 126,user126@sucursales.local,2024-01-31,0
127,Usuario 127,Apellido 127,user127@sucursales.local,2024-01-02,0
128,Usuario 128,Apellido 128,user128@sucursales.local,2024-05-15,0
129,Usuario 129,Apellido 129,user129@sucursales.local,2025-02-05,0
130,Usuario 130,Apellido 130,user130@sucursales.local,2024-08-04,0
131,Usuario 131,Apellido 131,user131@sucursales.local,2025-01-09,0
132,Usuario 132,Apellido 132,user132@sucursales.local,2024-10-11,0
133,Usuario 133,Apellido 133,user133@sucursales.local,2024-09-06,0
134,Usuario 134,Apellido 134,user134@sucursales.local,2024-05-31,0
135,Usuario 135,Apellido 135,user135@sucursales.local,2024-01-30,0
136,Usuario 136,Apellido 136,user136@sucursales.local,2024-10-04,0
137,Usuario 137,Apellido 137,user137@sucursales.local,2024-06-09,0
138,Usuario 138,Apellido 138,user138@sucursales.local,2024-10-26,0
139,Usuario 139,Apellido 139,user139@sucursales.local,2025-03-12,0
140,Usuario 140,Apellido 140,user140@sucursales.local,2024-01-30,0
141,Usuario 141,Apellido 141,user141@sucursales.local,2024-02-11,0
142,Usuario 142,Apellido 142,user142@sucursales.local,2024-02-05,0
143,Usuario 143,Apellido 143,user143@sucursales.local,2024-12-11,0
144,Usuario 144,Apellido 144,user144@sucursales.local,2024-07-25,0
145,Usuario 145,Apellido 145,user145@sucursales.local,2025-03-31,0
146,Usuario 146,Apellido 146,user146@sucursales.local,2024-10-23,0
147,Usuario 147,Apellido 147,user147@sucursales.local,2024-11-13,0
148,Usuario 148,Apellido 148,user148@sucursales.local,2024-12-02,0
149,Usuario 149,Apellido 149,user149@sucursales.local,2024-09-24,0
150,Usuario 150,Apellido 150,user150@sucursales.local,2024-05-13,0
