MailId,SucursalId,UserId,To,Subject,MailStateId,RetryCount,CreatedAt,SentAt
90,115,125,user125@sucursales.local,Verificación de email,2,0,2024-01-17,2024-01-17
91,123,149,user149@sucursales.local,Eliminación de sucursal,4,2,2025-04-12,
92,485,91,user91@sucursales.local,Creación de sucursal,3,2,2026-04-14,
93,401,41,user41@sucursales.local,Eliminación de sucursal,2,0,2025-02-14,2025-02-14
94,643,73,user73@sucursales.local,Eliminación de sucursal,3,3,2025-10-14,
95,355,109,user109@sucursales.local,Notificación operativa,2,0,2025-09-10,2025-09-10
96,4,66,user66@sucursales.local,Notificación operativa,1,0,2024-06-17,
97,233,99,user99@sucursales.local,Verificación de email,3,1,2024-03-23,
98,771,76,user76@sucursales.local,Creación de sucursal,2,0,2024-10-18,2024-10-18
99,740,121,user121@sucursales.local,Creación de sucursal,2,0,2024-10-25,2024-10-25
100,303,87,user87@sucursales.local,Eliminación de sucursal,3,1,2025-08-19,
101,595,95,user95@sucursales.local,Verificación de email,2,0,2026-06-03,2026-06-03
102,51,38,user38@sucursales.local,Creación de sucursal,4,2,2025-07-27,
103,313,121,user121@sucursales.local,Eliminación de sucursal,2,0,2026-01-06,2026-01-06
104,261,35,user35@sucursales.local,Notificación operativa,3,3,2025-03-10,
105,209,106,user106@sucursales.local,Creación de sucursal,2,0,2024-05-22,2024-05-22
106,580,134,user134@sucursales.local,Eliminación de sucursal,2,0,2026-03-13,2026-03-13
107,535,30,user30@sucursales.local,Verificación de email,2,0,2024-11-27,2024-11-27
108,453,11,user11@sucursales.local,Eliminación de sucursal,2,0,2025-03-16,2025-03-16
109,451,76,user76@sucursales.local,Creación de sucursal,2,0,2024-07-21,2024-07-21
110,14,43,user43@sucursales.local,Eliminación de sucursal,2,0,2024-03-01,2024-03-01
111,208,21,user21@sucursales.local,Eliminación de sucursal,2,0,2024-06-22,2024-06-22
112,432,48,user48@sucursales.local,Eliminación de sucursal,2,0,2026-01-30,2026-01-30
113,355,77,user77@sucursales.local,Creación de sucursal,3,2,2024-01-29,
114,33,25,user25@sucursales.local,Notificación operativa,2,0,2025-01-13,2025-01-13
115,360,141,user141@sucursales.local,Verificación de email,2,0,2025-04-04,2025-04-04
116,457,49,user49@sucursales.local,Eliminación de sucursal,2,0,2024-06-17,2024-06-17
117,761,104,user104@sucursales.local,Creación de sucursal,2,0,2026-02-12,2026-02-12
118,782,140,user140@sucursales.local,Eliminación de sucursal,3,3,2026-02-18,
119,363,112,user112@sucursales.local,Creación de sucursal,2,0,2025-03-09,2025-03-09
120,392,73,user73@sucursales.local,Notificación operativa,2,0,2026-04-11,2026-04-11
121,492,97,user97@sucursales.local,Verificación de email,2,0,2026-01-08,2026-01-08
122,392,44,user44@sucursales.local,Verificación de email,2,0,2025-07-22,2025-07-22
123,362,15,user15@sucursales.local,Creación de sucursal,2,0,2024-02-18,2024-02-18
124,314,64,user64@sucursales.local,Eliminación de sucursal,4,2,2026-06-06,
125,595,149,user149@sucursales.local,Eliminación de sucursal,3,3,2025-04-24,
126,148,134,user134@sucursales.local,Verificación de email,2,0,2025-03-18,2025-03-18
127,110,65,user65@sucursales.local,Eliminación de sucursal,2,0,2024-12-08,2024-12-08
128,331,86,user86@sucursales.local,Eliminación de sucursal,3,1,2025-11-23,
129,689,139,user139@sucursales.local,Notificación operativa,2,0,2024-09-09,2024-09-09
130,550,32,user32@sucursales.local,Creación de sucursal,2,0,2026-05-02,2026-05-02
131,211,11,user11@sucursales.local,Verificación de email,2,0,2024-12-23,2024-12-23
132,501,57,user57@sucursales.local,Creación de sucursal,4,3,2024-01-16,
133,55,59,user59@sucursales.local,Verificación de email,2,0,2025-11-17,2025-11-17
134,653,122,user122@sucursales.local,Notificación operativa,2,0,2024-04-17,2024-04-17
135,713,17,user17@sucursales.local,Creación de sucursal,2,0,2025-02-15,2025-02-15
136,502,26,user26@sucursales.local,Notificación operativa,2,0,2024-01-18,2024-01-18
137,497,76,user76@sucursales.local,Verificación de email,2,0,2025-09-08,2025-09-08
138,447,30,user30@sucursales.local,Verificación de email,2,0,2025-12-24,2025-12-24
139,445,121,user121@sucursales.local,Eliminación de sucursal,2,0,2025-06-06,2025-06-06
140,120,82,user82@sucursales.local,Verificación de email,2,0,2025-10-20,2025-10-20
141,323,119,user119@sucursales.local,Eliminación de sucursal,2,0,2025-05-22,2025-05-22
142,419,59,user59@sucursales.local,Eliminación de sucursal,2,0,2025-01-21,2025-01-21
143,271,59,user59@sucursales.local,Notificación operativa,2,0,2025-05-02,2025-05-02
144,650,21,user21@sucursales.local,Creación de sucursal,2,0,2024-02-13,2024-02-13
145,329,28,user28@sucursales.local,Verificación de email,2,0,2025-02-22,2025-02-22
146,196,6,user6@sucursales.local,Notificación operativa,2,0,2025-12-02,2025-12-02
147,237,39,user39@sucursales.local,Notificación operativa,2,0,2025-06-14,2025-06-14
148,88,111,user111@sucursales.local,Creación de sucursal,2,0,2026-04-10,2026-04-10
149,643,23,user23@sucursales.local,Creación de sucursal,2,0,2024-12-28,2024-12-28
150,698,69,user69@sucursales.local,Eliminación de sucursal,1,0,2026-03-22,
151,768,62,user62@sucursales.local,Notificación operativa,2,0,2026-06-05,2026-06-05
152,474,64,user64@sucursales.local,Creación de sucursal,2,0,2026-01-16,2026-01-16
153,539,68,user68@sucursales.local,Eliminación de sucursal,4,2,2024-08-11,
154,691,124,user124@sucursales.local,Creación de sucursal,2,0,2024-03-17,2024-03-17
155,147,106,user106@sucursales.local,Creación de sucursal,2,0,2025-03-23,2025-03-23
156,294,119,user119@sucursales.local,Notificación operativa,2,0,2024-04-21,2024-04-21
157,210,66,user66@sucursales.local,Notificación operativa,1,0,2024-06-23,
158,769,59,user59@sucursales.local,Verificación de email,2,0,2025-07-05,2025-07-05
159,332,90,user90@sucursales.local,Notificación operativa,2,0,2024-05-03,2024-05-03
160,199,17,user17@sucursales.local,Creación de sucursal,2,0,2024-11-08,2024-11-08
161,335,46,user46@sucursales.local,Notificación operativa,2,0,2025-02-09,2025-02-09
162,744,5,user5@sucursales.local,Creación de sucursal,2,0,2024-08-24,2024-08-24
163,619,69,user69@sucursales.local,Eliminación de sucursal,2,0,2026-06-08,2026-06-08
164,306,141,user141@sucursales.local,Verificación de email,1,0,2024-07-18,
165,107,104,user104@sucursales.local,Verificación de email,2,0,2025-04-30,2025-04-30
166,543,13,user13@sucursales.local,Verificación de email,1,0,2025-03-19,
167,636,10,user10@sucursales.local,Eliminación de sucursal,2,0,2024-03-11,2024-03-11
168,733,48,user48@sucursales.local,Eliminación de sucursal,3,2,2024-10-18,
169,269,97,user97@sucursales.local,Creación de sucursal,2,0,2024-03-08,2024-03-08
170,223,112,user112@sucursales.local,Eliminación de sucursal,2,0,2026-04-11,2026-04-11
171,707,24,user24@sucursales.local,Creación de sucursal,2,0,2024-09-25,2024-09-25
172,782,39,user39@sucursales.local,Eliminación de sucursal,3,3,2025-04-07,
173,313,87,user87@sucursales.local,Creación de sucursal,4,3,2026-02-01,
174,658,135,user135@sucursales.local,Eliminación de sucursal,1,0,2024-08-22,
175,671,21,user21@sucursales.local,Notificación operativa,2,0,2024-10-10,2024-10-10
176,595,48,user48@sucursales.local,Notificación operativa,2,0,2025-05-16,2025-05-16
177,417,143,user143@sucursales.local,Creación de sucursal,2,0,2025-07-28,2025-07-28
178,746,122,user122@sucursales.local,Eliminación de sucursal,2,0,2026-06-17,2026-06-17
179,500,143,user143@sucursales.local,Creación de sucursal,2,0,2025-12-16,2025-12-16
180,213,149,user149@sucursales.local,Eliminación de sucursal,2,0,2024-03-17,2024-03-17
181,256,9,user9@sucursales.local,Eliminación de sucursal,2,0,2025-12-05,2025-12-05
182,65,105,user105@sucursales.local,Creación de sucursal,2,0,2024-07-23,2024-07-23
183,319,19,user19@sucursales.local,Notificación operativa,2,0,2024-09-01,2024-09-01
184,14,40,user40@sucursales.local,Notificación operativa,2,0,2025-06-17,2025-06-17
185,484,41,user41@sucursales.local,Notificación operativa,4,3,2025-09-04,
186,522,19,user19@sucursales.local,Creación de sucursal,2,0,2025-12-03,2025-12-03
187,602,23,user23@sucursales.local,Notificación operativa,1,0,2025-12-12,
188,178,136,user136@sucursales.local,Eliminación de sucursal,2,0,2025-05-07,2025-05-07
189,617,139,user139@sucursales.local,Verificación de email,2,0,2025-09-16,2025-09-16
190,775,15,user15@sucursales.local,Eliminación de sucursal,2,0,2025-10-11,2025-10-11
191,662,133,user133@sucursales.local,Creación de sucursal,2,0,2024-07-07,2024-07-07
192,256,82,user82@sucursales.local,Eliminación de sucursal,2,0,2025-03-11,2025-03-11
193,529,39,user39@sucursales.local,Eliminación de sucursal,2,0,2026-03-03,2026-03-03
194,172,77,user77@sucursales.local,Notificación operativa,1,0,2024-06-27,
195,88,88,user88@sucursales.local,Notificación operativa,3,3,2024-04-11,
196,771,41,user41@sucursales.local,Eliminación de sucursal,2,0,2026-05-01,2026-05-01
197,511,142,user142@sucursales.local,Creación de sucursal,2,0,2026-04-17,2026-04-17
198,395,126,user126@sucursales.local,Creación de sucursal,2,0,2025-11-26,2025-11-26
199,80,39,user39@sucursales.local,Creación de sucursal,2,0,2024-10-10,2024-10-10
200,163,10,user10@sucursales.local,Eliminación de sucursal,2,0,2024-10-28,2024-10-28
201,562,115,user115@sucursales.local,Verificación de email,2,0,2025-03-05,2025-03-05
202,220,115,user115@sucursales.local,Notificación operativa,2,0,2024-12-03,2024-12-03
203,227,34,user34@sucursales.local,Notificación operativa,2,0,2024-03-12,2024-03-12
204,426,49,user49@sucursales.local,Verificación de email,1,0,2025-02-21,
205,246,105,user105@sucursales.local,Creación de sucursal,2,0,2025-10-17,2025-10-17
206,299,20,user20@sucursales.local,Notificación operativa,2,0,2025-01-03,2025-01-03
207,225,107,user107@sucursales.local,Notificación operativa,2,0,2025-07-15,2025-07-15
208,253,122,user122@sucursales.local,Verificación de email,2,0,2025-12-26,2025-12-26
209,520,70,user70@sucursales.local,Verificación de email,2,0,2026-03-10,2026-03-10
210,494,127,user127@sucursales.local,Verificación de email,2,0,2024-12-16,2024-12-16
211,284,87,user87@sucursales.local,Eliminación de sucursal,2,0,2024-05-21,2024-05-21
212,698,132,user132@sucursales.local,Eliminación de sucursal,2,0,2024-03-16,2024-03-16
213,580,43,user43@sucursales.local,Eliminación de sucursal,2,0,2024-10-25,2024-10-25
214,387,10,user10@sucursales.local,Verificación de email,3,1,2025-09-26,
215,5,47,user47@sucursales.local,Verificación de email,2,0,2024-10-02,2024-10-02
216,656,16,user16@sucursales.local,Eliminación de sucursal,2,0,2026-05-17,2026-05-17
217,178,86,user86@sucursales.local,Creación de sucursal,2,0,2025-05-05,2025-05-05
218,741,1,user1@sucursales.local,Eliminación de sucursal,2,0,2025-02-11,2025-02-11
219,783,42,user42@sucursales.local,Verificación de email,2,0,2026-01-08,2026-01-08
220,521,8,user8@sucursales.local,Verificación de email,2,0,2024-08-16,2024-08-16
221,641,41,user41@sucursales.local,Notificación operativa,2,0,2025-05-17,2025-05-17
222,10,132,user132@sucursales.local,Notificación operativa,2,0,2026-04-21,2026-04-21
223,16,135,user135@sucursales.local,Notificación operativa,3,1,2024-11-22,
224,474,1,user1@sucursales.local,Notificación operativa,2,0,2025-09-21,2025-09-21
225,212,53,user53@sucursales.local,Creación de sucursal,2,0,2026-01-12,2026-01-12
226,34,43,user43@sucursales.local,Notificación operativa,2,0,2024-05-10,2024-05-10
227,186,92,user92@sucursales.local,Creación de sucursal,2,0,2025-01-10,2025-01-10
228,383,115,user115@sucursales.local,Verificación de email,3,2,2026-06-27,
229,534,97,user97@sucursales.local,Eliminación de sucursal,2,0,2024-11-23,2024-11-23
230,12,127,user127@sucursales.local,Creación de sucursal,2,0,2024-06-01,2024-06-01
231,346,81,user81@sucursales.local,Notificación operativa,2,0,2024-12-15,2024-12-15
232,782,73,user73@sucursales.local,Creación de sucursal,2,0,2025-06-19,2025-06-19
233,798,8,user8@sucursales.local,Notificación operativa,2,0,2025-08-08,2025-08-08
234,418,18,user18@sucursales.local,Verificación de email,2,0,2025-01-23,2025-01-23
235,416,6,user6@sucursales.local,Eliminación de sucursal,2,0,2024-03-22,2024-03-22
236,386,119,user119@sucursales.local,Creación de sucursal,2,0,2024-10-25,2024-10-25
237,236,100,user100@sucursales.local,Notificación operativa,2,0,2024-03-27,2024-03-27
238,371,68,user68@sucursales.local,Notificación operativa,2,0,2025-04-14,2025-04-14
239,196,69,user69@sucursales.local,Eliminación de sucursal,2,0,2024-01-18,2024-01-18
240,242,135,user135@sucursales.local,Eliminación de sucursal,2,0,2024-01-22,2024-01-22
241,722,112,user112@sucursales.local,Notificación operativa,2,0,2025-10-06,2025-10-06
242,722,30,user30@sucursales.local,Notificación operativa,2,0,2026-01-13,2026-01-13
243,38,74,user74@sucursales.local,Creación de sucursal,2,0,2024-11-23,2024-11-23
244,430,58,user58@sucursales.local,Verificación de email,1,0,2025-10-16,
245,342,27,user27@sucursales.local,Eliminación de sucursal,2,0,2025-06-23,2025-06-23
246,578,62,user62@sucursales.local,Notificación operativa,2,0,2026-01-30,2026-01-30
247,162,54,user54@sucursales.local,Creación de sucursal,3,3,2024-02-27,
248,302,56,user56@sucursales.local,Creación de sucursal,2,0,2025-10-24,2025-10-24
249,203,71,user71@sucursales.local,Verificación de email,2,0,2024-06-16,2024-06-16
250,626,8,user8@sucursales.local,Creación de sucursal,2,0,2026-05-01,2026-05-01
251,397,143,user143@sucursales.local,Notificación operativa,2,0,2024-07-08,2024-07-08
252,657,54,user54@sucursales.local,Notificación operativa,2,0,2024-09-12,2024-09-12
253,203,114,user114@sucursales.local,Creación de sucursal,3,3,2025-04-02,
254,54,73,user73@sucursales.local,Creación de sucursal,2,0,2025-11-28,2025-11-28
255,495,98,user98@sucursales.local,Notificación operativa,2,0,2025-02-12,2025-02-12
256,673,52,user52@sucursales.local,Eliminación de sucursal,2,0,2025-01-04,2025-01-04
257,616,99,user99@sucursales.local,Notificación operativa,2,0,2024-05-15,2024-05-15
258,432,121,user121@sucursales.local,Verificación de email,2,0,2025-04-24,2025-04-24
259,122,34,user34@sucursales.local,Creación de sucursal,2,0,2026-03-09,2026-03-09
260,271,7,user7@sucursales.local,Eliminación de sucursal,2,0,2025-09-11,2025-09-11
261,705,72,user72@sucursales.local,Verificación de email,2,0,2025-12-22,2025-12-22
262,542,36,user36@sucursales.local,Notificación operativa,3,3,2025-07-27,
263,286,31,user31@sucursales.local,Eliminación de sucursal,2,0,2025-04-02,2025-04-02
264,277,140,user140@sucursales.local,Notificación operativa,2,0,2025-02-01,2025-02-01
265,598,101,user101@sucursales.local,Creación de sucursal,2,0,2025-06-02,2025-06-02
266,435,60,user60@sucursales.local,Creación de sucursal,2,0,2026-02-23,2026-02-23
267,246,83,user83@sucursales.local,Creación de sucursal,2,0,2024-05-05,2024-05-05
268,293,14,user14@sucursales.local,Verificación de email,3,2,2026-01-12,
269,191,118,user118@sucursales.local,Creación de sucursal,2,0,2024-09-23,2024-09-23
270,280,88,user88@sucursales.local,Eliminación de sucursal,2,0,2024-05-21,2024-05-21
271,63,86,user86@sucursales.local,Verificación de email,2,0,2025-07-28,2025-07-28
272,563,122,user122@sucursales.local,Verificación de email,2,0,2026-04-27,2026-04-27
273,93,63,user63@sucursales.local,Creación de sucursal,2,0,2024-02-26,2024-02-26
274,8,62,user62@sucursales.local,Notificación operativa,2,0,2024-09-15,2024-09-15
275,32,59,user59@sucursales.local,Verificación de email,4,2,2024-06-21,
276,624,30,user30@sucursales.local,Creación de sucursal,3,3,2025-06-19,
277,548,127,user127@sucursales.local,Notificación operativa,2,0,2025-10-29,2025-10-29
278,481,92,user92@sucursales.local,Creación de sucursal,3,1,2024-01-01,
279,689,56,user56@sucursales.local,Eliminación de sucursal,2,0,2024-07-14,2024-07-14
280,463,123,user123@sucursales.local,Verificación de email,4,3,2025-02-07,
281,251,24,user24@sucursales.local,Notificación operativa,2,0,2026-04-09,2026-04-09
282,413,47,user47@sucursales.local,Notificación operativa,2,0,2025-05-08,2025-05-08
283,784,136,user136@sucursales.local,Notificación operativa,2,0,2026-01-18,2026-01-18
284,232,144,user144@sucursales.local,Notificación operativa,3,1,2025-02-17,
285,248,3,user3@sucursales.local,Eliminación de sucursal,2,0,2026-03-21,2026-03-21
286,133,78,user78@sucursales.local,Notificación operativa,2,0,2026-02-01,2026-02-01
287,413,102,user102@sucursales.local,Verificación de email,2,0,2024-01-28,2024-01-28
288,499,116,user116@sucursales.local,Creación de sucursal,2,0,2026-04-24,2026-04-24
289,305,69,user69@sucursales.local,Eliminación de sucursal,2,0,2024-11-16,2024-11-16
290,666,87,user87@sucursales.local,Verificación de email,4,1,2024-09-19,
291,477,98,user98@sucursales.local,Eliminación de sucursal,2,0,2024-05-15,2024-05-15
292,79,46,user46@sucursales.local,Eliminación de sucursal,2,0,2025-07-07,2025-07-07
293,168,137,user137@sucursales.local,Creación de sucursal,3,1,2024-09-17,
294,167,5,user5@sucursales.local,Verificación de email,2,0,2026-03-19,2026-03-19
295,27,74,user74@sucursales.local,Verificación de email,2,0,2026-05-29,2026-05-29
296,429,11,user11@sucursales.local,Creación de sucursal,2,0,2025-06-21,2025-06-21
297,224,49,user49@sucursales.local,Creación de sucursal,2,0,2024-03-22,2024-03-22
298,308,4,user4@sucursales.local,Verificación de email,2,0,2024-11-19,2024-11-19
299,653,117,user117@sucursales.local,Verificación de email,3,3,2024-05-05,
300,149,119,user119@sucursales.local,Notificación operativa,2,0,2025-12-07,2025-12-07
301,96,45,user45@sucursales.local,Notificación operativa,4,2,2025-03-03,
302,585,51,user51@sucursales.local,Eliminación de sucursal,3,1,2026-04-13,
303,447,80,user80@sucursales.local,Eliminación de sucursal,2,0,2024-09-01,2024-09-01
304,263,83,user83@sucursales.local,Notificación operativa,2,0,2024-04-05,2024-04-05
305,735,45,user45@sucursales.local,Verificación de email,2,0,2025-01-22,2025-01-22
306,67,4,user4@sucursales.local,Eliminación de sucursal,2,0,2026-01-18,2026-01-18
307,652,125,user125@sucursales.local,Eliminación de sucursal,2,0,2025-07-01,2025-07-01
308,378,36,user36@sucursales.local,Eliminación de sucursal,2,0,2024-07-03,2024-07-03
309,379,93,user93@sucursales.local,Verificación de email,4,2,2025-10-11,
310,675,16,user16@sucursales.local,Eliminación de sucursal,2,0,2026-02-04,2026-02-04
311,756,106,user106@sucursales.local,Notificación operativa,2,0,2026-02-16,2026-02-16
312,310,14,user14@sucursales.local,Creación de sucursal,2,0,2024-06-26,2024-06-26
313,772,132,user132@sucursales.local,Eliminación de sucursal,3,3,2025-09-08,
314,118,77,user77@sucursales.local,Eliminación de sucursal,3,2,2025-06-06,
315,656,68,user68@sucursales.local,Eliminación de sucursal,2,0,2024-08-05,2024-08-05
316,441,33,user33@sucursales.local,Notificación operativa,2,0,2025-10-06,2025-10-06
317,509,131,user131@sucursales.local,Creación de sucursal,2,0,2026-02-04,2026-02-04
318,519,73,user73@sucursales.local,Notificación operativa,2,0,2026-02-15,2026-02-15
319,251,66,user66@sucursales.local,Creación de sucursal,2,0,2024-12-07,2024-12-07
320,91,129,user129@sucursales.local,Verificación de email,2,0,2025-11-19,2025-11-19
321,549,36,user36@sucursales.local,Verificación de email,2,0,2025-01-18,2025-01-18
322,323,69,user69@sucursales.local,Notificación operativa,2,0,2026-02-15,2026-02-15
323,61,103,user103@sucursales.local,Creación de sucursal,2,0,2024-12-25,2024-12-25
324,112,25,user25@sucursales.local,Verificación de email,2,0,2025-10-04,2025-10-04
325,655,113,user113@sucursales.local,Eliminación de sucursal,2,0,2025-08-29,2025-08-29
326,238,31,user31@sucursales.local,Verificación de email,2,0,2024-09-01,2024-09-01
327,234,65,user65@sucursales.local,Verificación de email,2,0,2024-10-06,2024-10-06
328,561,5,user5@sucursales.local,Verificación de email,2,0,2026-05-03,2026-05-03
329,599,43,user43@sucursales.local,Eliminación de sucursal,1,0,2025-11-19,
330,49,121,user121@sucursales.local,Notificación operativa,2,0,2024-04-20,2024-04-20
331,351,49,user49@sucursales.local,Creación de sucursal,3,1,2024-01-16,
332,650,54,user54@sucursales.local,Eliminación de sucursal,2,0,2024-09-02,2024-09-02
333,398,37,user37@sucursales.local,Creación de sucursal,2,0,2025-09-29,2025-09-29
334,788,95,user95@sucursales.local,Verificación de email,2,0,2024-12-04,2024-12-04
